train_id,timestamp,sensor_type,fault,severity,description
T05,2025-08-05 09:45:29,brake,yes,critical,emergency brake malfunction
T05,2025-05-31 09:45:29,brake,yes,critical,emergency brake malfunction
T05,2025-07-03 09:45:29,brake,yes,critical,emergency brake malfunction
T06,2025-06-12 09:46:44,door,no,low,door pressure seals intact
T06,2025-08-18 09:46:44,door,no,low,door pressure seals intact
T06,2025-07-29 09:46:44,door,no,low,door pressure seals intact
T07,2025-08-26 09:47:56,HVAC,yes,low,filter replacement needed
T07,2025-06-26 09:47:56,HVAC,yes,low,filter replacement needed
T07,2025-06-05 09:47:56,HVAC,yes,low,filter replacement needed
T08,2025-07-09 09:48:13,signalling,no,low,beacon systems operational
T08,2025-07-23 09:48:13,signalling,no,low,beacon systems operational
T08,2025-08-21 09:48:13,signalling,no,low,beacon systems operational
T09,2025-08-08 09:49:25,power,no,low,power distribution normal
T09,2025-05-26 09:49:25,power,no,low,power distribution normal
T09,2025-07-01 09:49:25,power,no,low,power distribution normal
T10,2025-06-18 09:50:42,brake,no,low,brake system diagnostics pass
T10,2025-08-12 09:50:42,brake,no,low,brake system diagnostics pass
T10,2025-07-21 09:50:42,brake,no,low,brake system diagnostics pass
T11,2025-09-02 09:51:58,door,yes,high,door motor overheating
T11,2025-06-23 09:51:58,door,yes,high,door motor overheating
T11,2025-06-02 09:51:58,door,yes,high,door motor overheating
T12,2025-07-13 09:52:14,HVAC,no,low,air conditioning normal
T12,2025-07-27 09:52:14,HVAC,no,low,air conditioning normal
T12,2025-08-23 09:52:14,HVAC,no,low,air conditioning normal
T13,2025-07-31 09:53:36,signalling,yes,medium,signal relay intermittent
T13,2025-06-10 09:53:36,signalling,yes,medium,signal relay intermittent
T13,2025-07-06 09:53:36,signalling,yes,medium,signal relay intermittent
T14,2025-05-23 09:54:47,power,no,low,generator performance stable
T14,2025-08-15 09:54:47,power,no,low,generator performance stable
T14,2025-07-25 09:54:47,power,no,low,generator performance stable
T15,2025-08-29 09:55:19,brake,yes,medium,brake pad wear indicator
T15,2025-07-03 09:55:19,brake,yes,medium,brake pad wear indicator
T15,2025-05-29 09:55:19,brake,yes,medium,brake pad wear indicator
T16,2025-07-16 09:56:31,door,no,low,door alignment correct
T16,2025-08-04 09:56:31,door,no,low,door alignment correct
T16,2025-09-08 09:56:31,door,no,low,door alignment correct
T17,2025-08-02 09:57:48,HVAC,no,low,heating elements functional
T17,2025-06-15 09:57:48,HVAC,no,low,heating elements functional
T17,2025-06-26 09:57:48,HVAC,no,low,heating elements functional
T18,2025-06-08 09:58:52,signalling,no,low,track circuit normal
T18,2025-08-10 09:58:52,signalling,no,low,track circuit normal
T18,2025-07-23 09:58:52,signalling,no,low,track circuit normal
T19,2025-09-05 09:59:17,power,yes,critical,power transformer fault
T19,2025-06-29 09:59:17,power,yes,critical,power transformer fault
T19,2025-06-12 09:59:17,power,yes,critical,power transformer fault
T20,2025-06-23 10:00:28,brake,no,low,hydraulic pressure stable
T20,2025-07-29 10:00:28,brake,no,low,hydraulic pressure stable
T20,2025-08-31 10:00:28,brake,no,low,hydraulic pressure stable
T21,2025-08-06 10:01:41,door,no,low,pneumatic door system ok
T21,2025-06-05 10:01:41,door,no,low,pneumatic door system ok
T21,2025-07-09 10:01:41,door,no,low,pneumatic door system ok
T22,2025-05-31 10:02:55,HVAC,yes,high,HVAC overheating detected
T22,2025-08-08 10:02:55,HVAC,yes,high,HVAC overheating detected
T22,2025-07-21 10:02:55,HVAC,yes,high,HVAC overheating detected
T23,2025-08-26 10:03:12,signalling,no,low,wireless systems active
T23,2025-07-06 10:03:12,signalling,no,low,wireless systems active
T23,2025-05-26 10:03:12,signalling,no,low,wireless systems active
T24,2025-07-11 10:04:29,power,no,low,electrical load balanced
T24,2025-07-31 10:04:29,power,no,low,electrical load balanced
T24,2025-09-02 10:04:29,power,no,low,electrical load balanced
T25,2025-07-26 10:05:43,brake,no,low,brake cooling system normal
T25,2025-05-21 10:05:43,brake,no,low,brake cooling system normal
T25,2025-07-01 10:05:43,brake,no,low,brake cooling system normal
T01,2025-07-06 10:06:58,door,yes,medium,door seal degradation
T01,2025-08-02 10:06:58,door,yes,medium,door seal degradation
T01,2025-08-31 10:06:58,door,yes,medium,door seal degradation
T02,2025-06-15 10:07:15,HVAC,no,low,climate sensors accurate
T02,2025-06-29 10:07:15,HVAC,no,low,climate sensors accurate
T02,2025-07-31 10:07:15,HVAC,no,low,climate sensors accurate
T03,2025-08-15 10:08:32,signalling,yes,low,antenna alignment off
T03,2025-06-08 10:08:32,signalling,yes,low,antenna alignment off
T03,2025-06-23 10:08:32,signalling,yes,low,antenna alignment off
T04,2025-06-21 10:09:44,power,no,low,backup power ready
T04,2025-07-26 10:09:44,power,no,low,backup power ready
T04,2025-09-05 10:09:44,power,no,low,backup power ready
T05,2025-08-05 10:10:57,brake,yes,high,brake cylinder leak
T05,2025-05-31 10:10:57,brake,yes,high,brake cylinder leak
T05,2025-07-03 10:10:57,brake,yes,high,brake cylinder leak
T06,2025-06-12 10:11:18,door,no,low,door control system normal
T06,2025-08-18 10:11:18,door,no,low,door control system normal
T06,2025-07-29 10:11:18,door,no,low,door control system normal
T07,2025-08-26 10:12:35,HVAC,no,low,fan motor speed normal
T07,2025-06-26 10:12:35,HVAC,no,low,fan motor speed normal
T07,2025-06-05 10:12:35,HVAC,no,low,fan motor speed normal
T08,2025-07-09 10:13:47,signalling,no,low,data transmission stable
T08,2025-07-23 10:13:47,signalling,no,low,data transmission stable
T08,2025-08-21 10:13:47,signalling,no,low,data transmission stable
T09,2025-08-08 10:14:52,power,yes,medium,capacitor bank aging
T09,2025-05-26 10:14:52,power,yes,medium,capacitor bank aging
T09,2025-07-01 10:14:52,power,yes,medium,capacitor bank aging
T10,2025-06-18 10:15:19,brake,no,low,brake response time normal
T10,2025-08-12 10:15:19,brake,no,low,brake response time normal
T10,2025-07-21 10:15:19,brake,no,low,brake response time normal
T11,2025-09-02 10:16:33,door,no,low,door emergency release ok
T11,2025-06-23 10:16:33,door,no,low,door emergency release ok
T11,2025-06-02 10:16:33,door,no,low,door emergency release ok
T12,2025-07-13 10:17:46,HVAC,yes,critical,refrigerant leak detected
T12,2025-07-27 10:17:46,HVAC,yes,critical,refrigerant leak detected
T12,2025-08-23 10:17:46,HVAC,yes,critical,refrigerant leak detected
T13,2025-07-31 10:18:58,signalling,no,low,control signals clear
T13,2025-06-10 10:18:58,signalling,no,low,control signals clear
T13,2025-07-06 10:18:58,signalling,no,low,control signals clear
T14,2025-05-23 10:19:14,power,no,low,circuit breakers normal
T14,2025-08-15 10:19:14,power,no,low,circuit breakers normal
T14,2025-07-25 10:19:14,power,no,low,circuit breakers normal
T15,2025-08-29 10:20:27,brake,no,low,brake force distribution ok
T15,2025-07-03 10:20:27,brake,no,low,brake force distribution ok
T15,2025-05-29 10:20:27,brake,no,low,brake force distribution ok
T16,2025-07-16 10:21:39,door,yes,high,door actuator failure
T16,2025-08-04 10:21:39,door,yes,high,door actuator failure
T16,2025-09-08 10:21:39,door,yes,high,door actuator failure
T17,2025-08-02 10:22:51,HVAC,no,low,thermostat calibration good
T17,2025-06-15 10:22:51,HVAC,no,low,thermostat calibration good
T17,2025-06-26 10:22:51,HVAC,no,low,thermostat calibration good
T18,2025-06-08 10:23:16,signalling,yes,medium,communication timeout
T18,2025-08-10 10:23:16,signalling,yes,medium,communication timeout
T18,2025-07-23 10:23:16,signalling,yes,medium,communication timeout
T19,2025-09-05 10:24:28,power,no,low,voltage regulator stable
T19,2025-06-29 10:24:28,power,no,low,voltage regulator stable
T19,2025-06-12 10:24:28,power,no,low,voltage regulator stable
T20,2025-06-23 10:25:42,brake,yes,critical,brake line rupture
T20,2025-07-29 10:25:42,brake,yes,critical,brake line rupture
T20,2025-08-31 10:25:42,brake,yes,critical,brake line rupture
T21,2025-08-06 10:26:54,door,no,low,door limit switches active
T21,2025-06-05 10:26:54,door,no,low,door limit switches active
T21,2025-07-09 10:26:54,door,no,low,door limit switches active
T22,2025-05-31 10:27:17,HVAC,no,low,air circulation adequate
T22,2025-08-08 10:27:17,HVAC,no,low,air circulation adequate
T22,2025-07-21 10:27:17,HVAC,no,low,air circulation adequate
T23,2025-08-26 10:28:31,signalling,no,low,position reporting normal
T23,2025-07-06 10:28:31,signalling,no,low,position reporting normal
T23,2025-05-26 10:28:31,signalling,no,low,position reporting normal
T24,2025-07-11 10:29:45,power,yes,high,inverter malfunction
T24,2025-07-31 10:29:45,power,yes,high,inverter malfunction
T24,2025-09-02 10:29:45,power,yes,high,inverter malfunction
T25,2025-07-26 10:30:58,brake,no,low,anti-lock system functional
T25,2025-05-21 10:30:58,brake,no,low,anti-lock system functional
T25,2025-07-01 10:30:58,brake,no,low,anti-lock system functional
T01,2025-07-06 10:31:12,door,no,low,door obstruction sensors clear
T01,2025-08-02 10:31:12,door,no,low,door obstruction sensors clear
T01,2025-08-31 10:31:12,door,no,low,door obstruction sensors clear
T02,2025-06-15 10:32:24,HVAC,yes,medium,compressor pressure high
T02,2025-06-29 10:32:24,HVAC,yes,medium,compressor pressure high
T02,2025-07-31 10:32:24,HVAC,yes,medium,compressor pressure high
T03,2025-08-15 10:33:38,signalling,no,low,transponder responding
T03,2025-06-08 10:33:38,signalling,no,low,transponder responding
T03,2025-06-23 10:33:38,signalling,no,low,transponder responding
T04,2025-06-21 10:34:51,power,no,low,power quality monitoring ok
T04,2025-07-26 10:34:51,power,no,low,power quality monitoring ok
T04,2025-09-05 10:34:51,power,no,low,power quality monitoring ok
T05,2025-08-05 10:35:15,brake,yes,medium,brake temperature elevated
T05,2025-05-31 10:35:15,brake,yes,medium,brake temperature elevated
T05,2025-07-03 10:35:15,brake,yes,medium,brake temperature elevated
T06,2025-06-12 10:36:27,door,yes,low,door timing adjustment needed
T06,2025-08-18 10:36:27,door,yes,low,door timing adjustment needed
T06,2025-07-29 10:36:27,door,yes,low,door timing adjustment needed
T07,2025-08-26 10:37:42,HVAC,no,low,humidity control normal
T07,2025-06-26 10:37:42,HVAC,no,low,humidity control normal
T07,2025-06-05 10:37:42,HVAC,no,low,humidity control normal
T08,2025-07-09 10:38:54,signalling,yes,critical,signal processor down
T08,2025-07-23 10:38:54,signalling,yes,critical,signal processor down
T08,2025-08-21 10:38:54,signalling,yes,critical,signal processor down
T09,2025-08-08 10:39:18,power,no,low,harmonic distortion low
T09,2025-05-26 10:39:18,power,no,low,harmonic distortion low
T09,2025-07-01 10:39:18,power,no,low,harmonic distortion low
T10,2025-06-18 10:40:31,brake,no,low,brake wear sensors normal
T10,2025-08-12 10:40:31,brake,no,low,brake wear sensors normal
T10,2025-07-21 10:40:31,brake,no,low,brake wear sensors normal
T11,2025-09-02 10:41:44,door,no,low,door frame integrity good
T11,2025-06-23 10:41:44,door,no,low,door frame integrity good
T11,2025-06-02 10:41:44,door,no,low,door frame integrity good
T12,2025-07-13 10:42:57,HVAC,no,low,defrost system operational
T12,2025-07-27 10:42:57,HVAC,no,low,defrost system operational
T12,2025-08-23 10:42:57,HVAC,no,low,defrost system operational
T13,2025-07-31 10:43:19,signalling,yes,medium,interference pattern detected
T13,2025-06-10 10:43:19,signalling,yes,medium,interference pattern detected
T13,2025-07-06 10:43:19,signalling,yes,medium,interference pattern detected
T14,2025-05-23 10:44:32,power,yes,critical,main fuse blown
T14,2025-08-15 10:44:32,power,yes,critical,main fuse blown
T14,2025-07-25 10:44:32,power,yes,critical,main fuse blown
T15,2025-08-29 10:45:46,brake,no,low,brake assist system active
T15,2025-07-03 10:45:46,brake,no,low,brake assist system active
T15,2025-05-29 10:45:46,brake,no,low,brake assist system active
T16,2025-07-16 10:46:58,door,no,low,door gasket condition good
T16,2025-08-04 10:46:58,door,no,low,door gasket condition good
T16,2025-09-08 10:46:58,door,no,low,door gasket condition good
T17,2025-08-02 10:47:14,HVAC,yes,high,cooling system overload
T17,2025-06-15 10:47:14,HVAC,yes,high,cooling system overload
T17,2025-06-26 10:47:14,HVAC,yes,high,cooling system overload
T18,2025-06-08 10:48:26,signalling,no,low,receiver sensitivity normal
T18,2025-08-10 10:48:26,signalling,no,low,receiver sensitivity normal
T18,2025-07-23 10:48:26,signalling,no,low,receiver sensitivity normal
T19,2025-09-05 10:49:39,power,no,low,power factor correction on
T19,2025-06-29 10:49:39,power,no,low,power factor correction on
T19,2025-06-12 10:49:39,power,no,low,power factor correction on
T20,2025-06-23 10:50:52,brake,yes,high,brake caliper seizure
T20,2025-07-29 10:50:52,brake,yes,high,brake caliper seizure
T20,2025-08-31 10:50:52,brake,yes,high,brake caliper seizure
T21,2025-08-06 10:51:17,door,yes,medium,door warning light fault
T21,2025-06-05 10:51:17,door,yes,medium,door warning light fault
T21,2025-07-09 10:51:17,door,yes,medium,door warning light fault
T22,2025-05-31 10:52:29,HVAC,no,low,ventilation dampers open
T22,2025-08-08 10:52:29,HVAC,no,low,ventilation dampers open
T22,2025-07-21 10:52:29,HVAC,no,low,ventilation dampers open
T23,2025-08-26 10:53:42,signalling,no,low,satellite link established
T23,2025-07-06 10:53:42,signalling,no,low,satellite link established
T23,2025-05-26 10:53:42,signalling,no,low,satellite link established
T24,2025-07-11 10:54:55,power,no,low,surge protection active
T24,2025-07-31 10:54:55,power,no,low,surge protection active
T24,2025-09-02 10:54:55,power,no,low,surge protection active
T25,2025-07-26 10:55:18,brake,no,low,brake pedal sensor normal
T25,2025-05-21 10:55:18,brake,no,low,brake pedal sensor normal
T25,2025-07-01 10:55:18,brake,no,low,brake pedal sensor normal
T01,2025-07-06 10:56:31,door,no,low,door spring tension correct
T01,2025-08-02 10:56:31,door,no,low,door spring tension correct
T01,2025-08-31 10:56:31,door,no,low,door spring tension correct
T02,2025-06-15 10:57:44,HVAC,no,low,heat exchanger efficiency ok
T02,2025-06-29 10:57:44,HVAC,no,low,heat exchanger efficiency ok
T02,2025-07-31 10:57:44,HVAC,no,low,heat exchanger efficiency ok
T03,2025-08-15 10:58:57,signalling,yes,low,signal strength marginal
T03,2025-06-08 10:58:57,signalling,yes,low,signal strength marginal
T03,2025-06-23 10:58:57,signalling,yes,low,signal strength marginal
T04,2025-06-21 10:59:12,power,yes,medium,rectifier diode failure
T04,2025-07-26 10:59:12,power,yes,medium,rectifier diode failure
T04,2025-09-05 10:59:12,power,yes,medium,rectifier diode failure
T05,2025-08-05 11:00:25,brake,yes,critical,master cylinder failure
T05,2025-05-31 11:00:25,brake,yes,critical,master cylinder failure
T05,2025-07-03 11:00:25,brake,yes,critical,master cylinder failure
T06,2025-06-12 11:01:38,door,no,low,door interlock system secure
T06,2025-08-18 11:01:38,door,no,low,door interlock system secure
T06,2025-07-29 11:01:38,door,no,low,door interlock system secure
T07,2025-08-26 11:02:51,HVAC,no,low,blower motor current normal
T07,2025-06-26 11:02:51,HVAC,no,low,blower motor current normal
T07,2025-06-05 11:02:51,HVAC,no,low,blower motor current normal
T08,2025-07-09 11:03:16,signalling,no,low,protocol handshake success
T08,2025-07-23 11:03:16,signalling,no,low,protocol handshake success
T08,2025-08-21 11:03:16,signalling,no,low,protocol handshake success
T09,2025-08-08 11:04:29,power,no,low,load sharing balanced
T09,2025-05-26 11:04:29,power,no,low,load sharing balanced
T09,2025-07-01 11:04:29,power,no,low,load sharing balanced
T10,2025-06-18 11:05:42,brake,no,low,brake booster pressure good
T10,2025-08-12 11:05:42,brake,no,low,brake booster pressure good
T10,2025-07-21 11:05:42,brake,no,low,brake booster pressure good
T11,2025-09-02 11:06:55,door,yes,high,door panel misalignment
T11,2025-06-23 11:06:55,door,yes,high,door panel misalignment
T11,2025-06-02 11:06:55,door,yes,high,door panel misalignment
T12,2025-07-13 11:07:18,HVAC,yes,medium,thermostat drift detected
T12,2025-07-27 11:07:18,HVAC,yes,medium,thermostat drift detected
T12,2025-08-23 11:07:18,HVAC,yes,medium,thermostat drift detected
T13,2025-07-31 11:08:31,signalling,no,low,error correction active
T13,2025-06-10 11:08:31,signalling,no,low,error correction active
T13,2025-07-06 11:08:31,signalling,no,low,error correction active
T14,2025-05-23 11:09:44,power,no,low,insulation resistance high
T14,2025-08-15 11:09:44,power,no,low,insulation resistance high
T14,2025-07-25 11:09:44,power,no,low,insulation resistance high
T15,2025-08-29 11:10:57,brake,yes,medium,brake hose bulging
T15,2025-07-03 11:10:57,brake,yes,medium,brake hose bulging
T15,2025-05-29 11:10:57,brake,yes,medium,brake hose bulging
T16,2025-07-16 11:11:12,door,no,low,door travel limits set
T16,2025-08-04 11:11:12,door,no,low,door travel limits set
T16,2025-09-08 11:11:12,door,no,low,door travel limits set
T17,2025-08-02 11:12:25,HVAC,no,low,condensate drain clear
T17,2025-06-15 11:12:25,HVAC,no,low,condensate drain clear
T17,2025-06-26 11:12:25,HVAC,no,low,condensate drain clear
T18,2025-06-08 11:13:38,signalling,yes,critical,base station offline
T18,2025-08-10 11:13:38,signalling,yes,critical,base station offline
T18,2025-07-23 11:13:38,signalling,yes,critical,base station offline
T19,2025-09-05 11:14:51,power,yes,high,transformer overheating
T19,2025-06-29 11:14:51,power,yes,high,transformer overheating
T19,2025-06-12 11:14:51,power,yes,high,transformer overheating
T20,2025-06-23 11:15:17,brake,no,low,brake vacuum adequate
T20,2025-07-29 11:15:17,brake,no,low,brake vacuum adequate
T20,2025-08-31 11:15:17,brake,no,low,brake vacuum adequate
T21,2025-08-06 11:16:30,door,no,low,door force limiter active
T21,2025-06-05 11:16:30,door,no,low,door force limiter active
T21,2025-07-09 11:16:30,door,no,low,door force limiter active
T22,2025-05-31 11:17:43,HVAC,no,low,refrigerant level normal
T22,2025-08-08 11:17:43,HVAC,no,low,refrigerant level normal
T22,2025-07-21 11:17:43,HVAC,no,low,refrigerant level normal
T23,2025-08-26 11:18:56,signalling,no,low,checksum validation pass
T23,2025-07-06 11:18:56,signalling,no,low,checksum validation pass
T23,2025-05-26 11:18:56,signalling,no,low,checksum validation pass
T24,2025-07-11 11:19:18,power,no,low,frequency regulation stable
T24,2025-07-31 11:19:18,power,no,low,frequency regulation stable
T24,2025-09-02 11:19:18,power,no,low,frequency regulation stable
T25,2025-07-26 11:20:31,brake,yes,high,brake disc warping
T25,2025-05-21 11:20:31,brake,yes,high,brake disc warping
T25,2025-07-01 11:20:31,brake,yes,high,brake disc warping
T01,2025-07-06 11:21:44,door,yes,low,door sensor dust buildup
T01,2025-08-02 11:21:44,door,yes,low,door sensor dust buildup
T01,2025-08-31 11:21:44,door,yes,low,door sensor dust buildup
T02,2025-06-15 11:22:57,HVAC,yes,critical,compressor seized
T02,2025-06-29 11:22:57,HVAC,yes,critical,compressor seized
T02,2025-07-31 11:22:57,HVAC,yes,critical,compressor seized
T03,2025-08-15 11:23:12,signalling,no,low,encryption key valid
T03,2025-06-08 11:23:12,signalling,no,low,encryption key valid
T03,2025-06-23 11:23:12,signalling,no,low,encryption key valid
T04,2025-06-21 11:24:25,power,no,low,phase sequence correct
T04,2025-07-26 11:24:25,power,no,low,phase sequence correct
T04,2025-09-05 11:24:25,power,no,low,phase sequence correct
T05,2025-08-05 11:25:38,brake,no,low,brake light switch ok
T05,2025-05-31 11:25:38,brake,no,low,brake light switch ok
T05,2025-07-03 11:25:38,brake,no,low,brake light switch ok
T06,2025-06-12 11:26:51,door,no,low,door rubber seal flexible
T06,2025-08-18 11:26:51,door,no,low,door rubber seal flexible
T06,2025-07-29 11:26:51,door,no,low,door rubber seal flexible
T07,2025-08-26 11:27:17,HVAC,no,low,evaporator coil clean
T07,2025-06-26 11:27:17,HVAC,no,low,evaporator coil clean
T07,2025-06-05 11:27:17,HVAC,no,low,evaporator coil clean
T08,2025-07-09 11:28:30,signalling,yes,medium,packet loss detected
T08,2025-07-23 11:28:30,signalling,yes,medium,packet loss detected
T08,2025-08-21 11:28:30,signalling,yes,medium,packet loss detected
T09,2025-08-08 11:29:43,power,yes,critical,circuit board failure
T09,2025-05-26 11:29:43,power,yes,critical,circuit board failure
T09,2025-07-01 11:29:43,power,yes,critical,circuit board failure
T10,2025-06-18 11:30:56,brake,no,low,brake reservoir level ok
T10,2025-08-12 11:30:56,brake,no,low,brake reservoir level ok
T10,2025-07-21 11:30:56,brake,no,low,brake reservoir level ok
T11,2025-09-02 11:31:18,door,no,low,door edge protection active
T11,2025-06-23 11:31:18,door,no,low,door edge protection active
T11,2025-06-02 11:31:18,door,no,low,door edge protection active
T12,2025-07-13 11:32:31,HVAC,no,low,cabin air quality good
T12,2025-07-27 11:32:31,HVAC,no,low,cabin air quality good
T12,2025-08-23 11:32:31,HVAC,no,low,cabin air quality good
T13,2025-07-31 11:33:44,signalling,no,low,buffer memory available
T13,2025-06-10 11:33:44,signalling,no,low,buffer memory available
T13,2025-07-06 11:33:44,signalling,no,low,buffer memory available
T14,2025-05-23 11:34:57,power,no,low,ground fault protection on
T14,2025-08-15 11:34:57,power,no,low,ground fault protection on
T14,2025-07-25 11:34:57,power,no,low,ground fault protection on
T15,2025-08-29 11:35:12,brake,yes,medium,brake fluid contamination
T15,2025-07-03 11:35:12,brake,yes,medium,brake fluid contamination
T15,2025-05-29 11:35:12,brake,yes,medium,brake fluid contamination
T16,2025-07-16 11:36:25,door,yes,high,door cable tension loss
T16,2025-08-04 11:36:25,door,yes,high,door cable tension loss
T16,2025-09-08 11:36:25,door,yes,high,door cable tension loss
T17,2025-08-02 11:37:38,HVAC,no,low,air flow rate nominal
T17,2025-06-15 11:37:38,HVAC,no,low,air flow rate nominal
T17,2025-06-26 11:37:38,HVAC,no,low,air flow rate nominal
T18,2025-06-08 11:38:51,signalling,no,low,retransmission buffer ok
T18,2025-08-10 11:38:51,signalling,no,low,retransmission buffer ok
T18,2025-07-23 11:38:51,signalling,no,low,retransmission buffer ok
T19,2025-09-05 11:39:17,power,no,low,neutral current minimal
T19,2025-06-29 11:39:17,power,no,low,neutral current minimal
T19,2025-06-12 11:39:17,power,no,low,neutral current minimal
T20,2025-06-23 11:40:30,brake,no,low,parking brake engaged
T20,2025-07-29 11:40:30,brake,no,low,parking brake engaged
T20,2025-08-31 11:40:30,brake,no,low,parking brake engaged
